catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_0.1,8,70,10.6286,0.15731,0.22240,0.30000,0.50000
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_0.5,8,70,10.8143,0.17189,0.23649,0.27143,0.47143
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_1.0,8,70,10.8429,0.16083,0.23949,0.24286,0.48571
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_category,8,70,11.0143,0.17387,0.22808,0.27143,0.44286
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_price,8,70,10.8571,0.15304,0.21674,0.27143,0.47143
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_1,8,70,10.8429,0.17786,0.22698,0.30000,0.45714
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_3,8,70,10.9429,0.17670,0.21659,0.30000,0.42857
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_5,8,70,11.1143,0.15836,0.20910,0.24286,0.40000
syn_V20_ELOW_z0.5_e0.6_m4_s1,last_item_nbhd,8,70,11.0286,0.15091,0.21226,0.24286,0.42857
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_scaled_content,8,70,10.8143,0.17251,0.23483,0.28571,0.48571
syn_V20_ELOW_z0.5_e0.6_m4_s1,co_purchase,8,70,10.9143,0.13866,0.20814,0.25714,0.47143
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.25,8,70,10.7571,0.18169,0.24075,0.30000,0.48571
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.5,8,70,10.9714,0.17501,0.22838,0.27143,0.44286
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.75,8,70,10.9857,0.16530,0.22426,0.25714,0.44286
syn_V20_ELOW_z0.5_e0.6_m4_s1,active_elic2,8,70,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_global,0,500,8.0460,0.27921,0.34821,0.43400,0.64800
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.1,0,500,8.0220,0.27534,0.35491,0.42400,0.67200
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.5,0,500,8.0220,0.27534,0.35491,0.42400,0.67200
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_1.0,0,500,8.0220,0.27534,0.35491,0.42400,0.67200
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_category,0,500,8.7460,0.23332,0.32782,0.32800,0.61200
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_price,0,500,8.4060,0.26516,0.33950,0.40200,0.63600
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_1,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_3,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_5,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,last_item_nbhd,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_scaled_content,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,co_purchase,0,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.25,0,500,8.0460,0.27921,0.34821,0.43400,0.64800
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.5,0,500,8.0460,0.27921,0.34821,0.43400,0.64800
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.75,0,500,8.0460,0.27921,0.34821,0.43400,0.64800
syn_V20_ELOW_z0.5_e0.6_m4_s2,active_elic2,0,500,9.1960,0.24802,0.30895,0.36600,0.55600
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_global,1,500,8.4280,0.27252,0.34863,0.41800,0.65400
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.1,1,500,8.5860,0.26278,0.33573,0.40000,0.62600
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.5,1,500,8.5820,0.26452,0.33818,0.39800,0.62600
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_1.0,1,500,8.5820,0.26452,0.33818,0.39800,0.62600
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_category,1,500,8.7260,0.25249,0.33243,0.37800,0.62400
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_price,1,500,8.7800,0.26759,0.33183,0.40600,0.61200
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_1,1,500,10.7400,0.15409,0.22914,0.25000,0.48800
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_3,1,500,10.9200,0.15262,0.22347,0.24200,0.46800
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_5,1,500,10.6300,0.15768,0.23105,0.25000,0.48200
syn_V20_ELOW_z0.5_e0.6_m4_s2,last_item_nbhd,1,500,10.4800,0.15798,0.23751,0.26000,0.51200
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_scaled_content,1,500,9.5060,0.20190,0.29383,0.31600,0.60000
syn_V20_ELOW_z0.5_e0.6_m4_s2,co_purchase,1,500,10.0500,0.15665,0.24499,0.27600,0.55200
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.25,1,500,8.7400,0.26791,0.33560,0.40800,0.62200
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.5,1,500,9.3160,0.22859,0.29896,0.34800,0.56800
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.75,1,500,9.8640,0.17655,0.26783,0.27800,0.56400
syn_V20_ELOW_z0.5_e0.6_m4_s2,active_elic2,1,500,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_global,2,365,8.9425,0.27125,0.34027,0.38904,0.60274
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.1,2,365,9.1014,0.26884,0.32698,0.38904,0.56986
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.5,2,365,9.0548,0.27325,0.32958,0.39452,0.56986
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_1.0,2,365,9.0384,0.27749,0.33004,0.40548,0.56986
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_category,2,365,9.3370,0.24751,0.32093,0.35068,0.57534
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_price,2,365,9.2658,0.26403,0.32604,0.37808,0.57534
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_1,2,365,9.9562,0.18954,0.26472,0.30685,0.54521
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_3,2,365,9.9342,0.19633,0.26697,0.31507,0.53973
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_5,2,365,9.9151,0.18846,0.25510,0.32329,0.53425
syn_V20_ELOW_z0.5_e0.6_m4_s2,last_item_nbhd,2,365,9.6603,0.20097,0.27505,0.32603,0.56164
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_scaled_content,2,365,9.1479,0.23439,0.31982,0.34521,0.61096
syn_V20_ELOW_z0.5_e0.6_m4_s2,co_purchase,2,365,10.0411,0.17850,0.24779,0.30959,0.52603
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.25,2,365,8.8603,0.26298,0.33177,0.38356,0.60000
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.5,2,365,8.8575,0.24707,0.32782,0.36986,0.62192
syn_V20_ELOW_z0.5_e0.6_m4_s2,lambda_hybrid_0.75,2,365,9.2438,0.22505,0.30132,0.34247,0.58356
syn_V20_ELOW_z0.5_e0.6_m4_s2,active_elic2,2,365,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_global,3,283,9.8163,0.23433,0.29806,0.34276,0.54064
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.1,3,283,9.7350,0.23585,0.30038,0.34629,0.54770
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_0.5,3,283,9.8092,0.22613,0.29879,0.32155,0.54770
syn_V20_ELOW_z0.5_e0.6_m4_s2,recency_pop_1.0,3,283,9.7703,0.23433,0.29984,0.34276,0.54770
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_category,3,283,10.0353,0.21518,0.28630,0.31095,0.53004
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_price,3,283,9.9293,0.22206,0.29377,0.31449,0.54064
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_1,3,283,10.2226,0.15877,0.24134,0.27208,0.52650
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_3,3,283,10.4099,0.15872,0.23742,0.27208,0.51590
syn_V20_ELOW_z0.5_e0.6_m4_s2,content_knn_5,3,283,10.3463,0.16383,0.23535,0.28269,0.50530
syn_V20_ELOW_z0.5_e0.6_m4_s2,last_item_nbhd,3,283,10.2120,0.17439,0.24241,0.30035,0.51237
syn_V20_ELOW_z0.5_e0.6_m4_s2,pop_scaled_content,3,283,10.0495,0.21246,0.27671,0.32862,0.53004
