catalog_id,heuristic,k,published_ndcg5,mine_ndcg5,delta,pass_1e6,pass_print5
synth_attr_many_s0,last_item_nbhd,2,0.0108700,0.0108714,1.419e-06,False,True
synth_attr_many_s0,pop_scaled_content,2,0.1777200,0.1777173,-2.716e-06,False,True
synth_attr_many_s0,co_purchase,2,0.0052100,0.0052103,3.186e-07,True,True
synth_attr_many_s0,lambda_hybrid_0.25,2,0.1948100,0.1948069,-3.104e-06,False,True
synth_attr_many_s0,lambda_hybrid_0.5,2,0.1468300,0.1468300,-4.655e-09,True,True
synth_attr_many_s0,lambda_hybrid_0.75,2,0.0799600,0.0799620,2.007e-06,False,True
synth_attr_many_s0,pop_global,3,0.2298700,0.2298705,5.332e-07,True,True
synth_attr_many_s0,recency_pop_0.1,3,0.0801800,0.0801762,-3.787e-06,False,True
synth_attr_many_s0,recency_pop_0.5,3,0.1092100,0.1092065,-3.465e-06,False,True
synth_attr_many_s0,recency_pop_1.0,3,0.1129300,0.1129252,-4.784e-06,False,True
synth_attr_many_s0,pop_category,3,0.2051300,0.2051277,-2.271e-06,False,True
synth_attr_many_s0,pop_price,3,0.2219400,0.2219359,-4.132e-06,False,True
synth_attr_many_s0,content_knn_1,3,0.0090900,0.0090890,-9.813e-07,True,True
synth_attr_many_s0,content_knn_3,3,0.0096800,0.0096844,4.437e-06,False,True
synth_attr_many_s0,content_knn_5,3,0.0081800,0.0081829,2.936e-06,False,True
synth_attr_many_s0,last_item_nbhd,3,0.0097300,0.0097283,-1.695e-06,False,True
synth_attr_many_s0,pop_scaled_content,3,0.1808600,0.1808584,-1.579e-06,False,True
synth_attr_many_s0,co_purchase,3,0.0049300,0.0049273,-2.655e-06,False,True
synth_attr_many_s0,lambda_hybrid_0.25,3,0.1999700,0.1999696,-3.506e-07,True,True
synth_attr_many_s0,lambda_hybrid_0.5,3,0.1438900,0.1438868,-3.224e-06,False,True
