catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_EHIGH_z0.5_p0.25_s1,5,lambda_hybrid_0.5,0.094548,0.077267,0.111638
phi_V100_EHIGH_z0.5_p0.25_s1,5,lambda_hybrid_0.75,0.052529,0.040500,0.065220
phi_V100_EHIGH_z0.5_p0.25_s1,8,pop_global,0.169802,0.145121,0.196849
phi_V100_EHIGH_z0.5_p0.25_s1,8,recency_pop_0.1,0.146976,0.124626,0.172150
phi_V100_EHIGH_z0.5_p0.25_s1,8,recency_pop_0.5,0.153274,0.129436,0.175203
phi_V100_EHIGH_z0.5_p0.25_s1,8,recency_pop_1.0,0.152917,0.128126,0.174276
phi_V100_EHIGH_z0.5_p0.25_s1,8,pop_category,0.147451,0.123077,0.172641
phi_V100_EHIGH_z0.5_p0.25_s1,8,pop_price,0.156804,0.135036,0.180590
phi_V100_EHIGH_z0.5_p0.25_s1,8,content_knn_1,0.025770,0.017775,0.034437
phi_V100_EHIGH_z0.5_p0.25_s1,8,content_knn_3,0.027161,0.017185,0.038467
phi_V100_EHIGH_z0.5_p0.25_s1,8,content_knn_5,0.021646,0.014492,0.029512
phi_V100_EHIGH_z0.5_p0.25_s1,8,last_item_nbhd,0.022940,0.014735,0.031267
phi_V100_EHIGH_z0.5_p0.25_s1,8,pop_scaled_content,0.146253,0.122595,0.169624
phi_V100_EHIGH_z0.5_p0.25_s1,8,co_purchase,0.002899,0.000000,0.007195
phi_V100_EHIGH_z0.5_p0.25_s1,8,lambda_hybrid_0.25,0.103058,0.080428,0.125809
phi_V100_EHIGH_z0.5_p0.25_s1,8,lambda_hybrid_0.5,0.074573,0.056075,0.093983
phi_V100_EHIGH_z0.5_p0.25_s1,8,lambda_hybrid_0.75,0.044726,0.030117,0.059260
phi_V100_EHIGH_z0.5_p0.5_s0,0,pop_global,0.760526,0.739941,0.781195
phi_V100_EHIGH_z0.5_p0.5_s0,0,recency_pop_0.1,0.037174,0.027208,0.047167
phi_V100_EHIGH_z0.5_p0.5_s0,0,recency_pop_0.5,0.051851,0.039177,0.064814
phi_V100_EHIGH_z0.5_p0.5_s0,0,recency_pop_1.0,0.053466,0.041424,0.066208
phi_V100_EHIGH_z0.5_p0.5_s0,0,pop_category,0.733394,0.709605,0.756370
phi_V100_EHIGH_z0.5_p0.5_s0,0,pop_price,0.751394,0.727774,0.773117
phi_V100_EHIGH_z0.5_p0.5_s0,0,lambda_hybrid_0.25,0.760526,0.740314,0.781290
phi_V100_EHIGH_z0.5_p0.5_s0,0,lambda_hybrid_0.5,0.760526,0.738701,0.780014
phi_V100_EHIGH_z0.5_p0.5_s0,0,lambda_hybrid_0.75,0.760526,0.739946,0.779666
phi_V100_EHIGH_z0.5_p0.5_s0,0,active_elic2,0.733394,0.709447,0.756058
phi_V100_EHIGH_z0.5_p0.5_s0,1,pop_global,0.422251,0.393780,0.449333
phi_V100_EHIGH_z0.5_p0.5_s0,1,recency_pop_0.1,0.123552,0.107015,0.140068
phi_V100_EHIGH_z0.5_p0.5_s0,1,recency_pop_0.5,0.200085,0.178739,0.221523
phi_V100_EHIGH_z0.5_p0.5_s0,1,recency_pop_1.0,0.206430,0.184234,0.228212
phi_V100_EHIGH_z0.5_p0.5_s0,1,pop_category,0.395737,0.367177,0.422604
phi_V100_EHIGH_z0.5_p0.5_s0,1,pop_price,0.413148,0.387642,0.441886
phi_V100_EHIGH_z0.5_p0.5_s0,1,content_knn_1,0.070387,0.059587,0.082295
phi_V100_EHIGH_z0.5_p0.5_s0,1,content_knn_3,0.099830,0.082244,0.117447
phi_V100_EHIGH_z0.5_p0.5_s0,1,content_knn_5,0.079946,0.064640,0.096054
phi_V100_EHIGH_z0.5_p0.5_s0,1,last_item_nbhd,0.061879,0.050764,0.073233
phi_V100_EHIGH_z0.5_p0.5_s0,1,pop_scaled_content,0.413078,0.385430,0.442259
phi_V100_EHIGH_z0.5_p0.5_s0,1,co_purchase,0.009040,0.004587,0.014627
phi_V100_EHIGH_z0.5_p0.5_s0,1,lambda_hybrid_0.25,0.404044,0.376212,0.430567
phi_V100_EHIGH_z0.5_p0.5_s0,1,lambda_hybrid_0.5,0.390952,0.363406,0.421451
phi_V100_EHIGH_z0.5_p0.5_s0,1,lambda_hybrid_0.75,0.308738,0.283634,0.333175
phi_V100_EHIGH_z0.5_p0.5_s0,2,pop_global,0.342873,0.315831,0.372328
phi_V100_EHIGH_z0.5_p0.5_s0,2,recency_pop_0.1,0.227406,0.204913,0.251803
phi_V100_EHIGH_z0.5_p0.5_s0,2,recency_pop_0.5,0.264811,0.241623,0.292562
phi_V100_EHIGH_z0.5_p0.5_s0,2,recency_pop_1.0,0.264210,0.239558,0.289769
phi_V100_EHIGH_z0.5_p0.5_s0,2,pop_category,0.320551,0.292642,0.347495
phi_V100_EHIGH_z0.5_p0.5_s0,2,pop_price,0.322067,0.295133,0.349940
phi_V100_EHIGH_z0.5_p0.5_s0,2,content_knn_1,0.041314,0.033007,0.050468
phi_V100_EHIGH_z0.5_p0.5_s0,2,content_knn_3,0.065944,0.052363,0.078947
phi_V100_EHIGH_z0.5_p0.5_s0,2,content_knn_5,0.035603,0.026075,0.045444
phi_V100_EHIGH_z0.5_p0.5_s0,2,last_item_nbhd,0.038977,0.029518,0.049066
phi_V100_EHIGH_z0.5_p0.5_s0,2,pop_scaled_content,0.337891,0.313206,0.364845
phi_V100_EHIGH_z0.5_p0.5_s0,2,co_purchase,0.008774,0.003887,0.014937
