catalog_id,n_items,entropy,zipf_s,phi_nominal,phi_effective,phi_capped,seed,tighten_used,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,gate_pass
phi_V100_EHIGH_z0.5_p0_s0,100,HIGH,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V100_EHIGH_z0.5_p0_s1,100,HIGH,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V100_EHIGH_z0.5_p0.25_s0,100,HIGH,0.5,0.25,0.25,False,0,0,0.005032446033638005,0.008210833002251394,-0.0023487834923114903,0.0016127088545387358,True
phi_V100_EHIGH_z0.5_p0.25_s1,100,HIGH,0.5,0.25,0.25,False,1,0,0.004092949564298842,0.004885133350937418,-0.0022646722220173165,0.0008361204663498434,True
phi_V100_EHIGH_z0.5_p0.5_s0,100,HIGH,0.5,0.5,0.5,False,0,0,0.008210833002251339,0.012183816713018158,-0.007781982970486601,0.00917520665207966,True
phi_V100_EHIGH_z0.5_p0.5_s1,100,HIGH,0.5,0.5,0.5,False,1,0,0.013467124372854355,0.01782413519936621,-0.015315622936694584,0.008822778808977971,True
phi_V100_EHIGH_z0.5_p1_s0,100,HIGH,0.5,1.0,0.69439697265625,True,0,1,0.013110846245530383,0.019997351344192837,-0.0139593386259797,0.01861942854874682,True
phi_V100_EHIGH_z0.5_p1_s1,100,HIGH,0.5,1.0,0.798370361328125,True,1,1,0.021124900977026684,0.01993662529706894,0.0015525017172348665,0.003376425461078969,True
phi_V100_EHIGH_z1.5_p0_s0,100,HIGH,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V100_EHIGH_z1.5_p0_s1,100,HIGH,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V100_EHIGH_z1.5_p0.25_s0,100,HIGH,1.5,0.25,0.25,False,0,0,0.0033108197589725163,0.006091908356509079,0.0004614364606465998,-0.0038814497378060198,True
phi_V100_EHIGH_z1.5_p0.25_s1,100,HIGH,1.5,0.25,0.25,False,1,0,0.003960918933192392,0.0023765513599155004,-0.00025858758672202276,0.0010298766313164842,True
phi_V100_EHIGH_z1.5_p0.5_s0,100,HIGH,1.5,0.5,0.5,False,0,0,0.00821083300225156,0.005827042775791297,-0.00011035188941042537,-0.0031472882683518666,True
phi_V100_EHIGH_z1.5_p0.5_s1,100,HIGH,1.5,0.5,0.5,False,1,0,0.010034327964087708,0.004489041457618172,-0.00027762342632702,0.0007219899564556709,True
phi_V100_EHIGH_z1.5_p1_s0,100,HIGH,1.5,1.0,1.0,False,0,0,0.015494636471990564,0.018540590650244992,-0.002956911498258233,0.005636740446968713,True
phi_V100_EHIGH_z1.5_p1_s1,100,HIGH,1.5,1.0,1.0,False,1,0,0.029574861367837213,0.015843675732770006,-0.0007534845522767022,0.002027067925603032,True
phi_V500_ELOW_z0.5_p0_s0,500,LOW,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V500_ELOW_z0.5_p0_s1,500,LOW,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V500_ELOW_z0.5_p0.25_s0,500,LOW,0.5,0.25,0.25,False,0,0,0.0038858959639671564,0.0040625275986929665,-0.0029897123187321295,0.0019217907013120428,True
phi_V500_ELOW_z0.5_p0.25_s1,500,LOW,0.5,0.25,0.25,False,1,0,0.005698755041206538,0.00824127652112916,-0.010512707626494366,0.0036867040454060807,True
phi_V500_ELOW_z0.5_p0.5_s0,500,LOW,0.5,0.5,0.5,False,0,0,0.007860107745297204,0.015102004769054211,-0.013856917877498043,0.008986746197018003,True
phi_V500_ELOW_z0.5_p0.5_s1,500,LOW,0.5,0.5,0.37127685546875,True,1,1,0.010783798001052225,0.01446607048921622,-0.019957948862030728,0.011454682933648097,True
phi_V500_ELOW_z0.5_p1_s0,500,LOW,0.5,1.0,0.578277587890625,True,0,1,0.01333568842179636,0.018458005828843993,-0.019966566032289024,0.0146679072902558,True
phi_V500_ELOW_z0.5_p1_s1,500,LOW,0.5,1.0,0.37127685546875,True,1,1,0.010783798001052225,0.01446607048921622,-0.019957948862030728,0.011454682933648097,True
phi_V500_ELOW_z1.5_p0_s0,500,LOW,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V500_ELOW_z1.5_p0_s1,500,LOW,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V500_ELOW_z1.5_p0.25_s0,500,LOW,1.5,0.25,0.25,False,0,0,0.002914421972975423,0.002737790338249578,-0.0006598844309961896,0.0030432618194510264,True
