catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V20_ELOW_z0.5_p0_s1,20,LOW,0.5,1,0.0,0.0,False,-0.192947,-0.207216,-0.178690,-0.194658,-0.207887,-0.180943,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_scaled_content,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_ELOW_z0.5_p1_s0,20,LOW,0.5,0,1.0,0.3802,True,-0.150392,-0.163739,-0.138002,-0.148748,-0.160749,-0.136745,0.003666,-0.020304,0.027558,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_category;8:pop_category,False,,0.007280,0.012795,-0.019678,0.019945,5
phi_V20_ELOW_z0.5_p1_s1,20,LOW,0.5,1,1.0,0.431,True,-0.186723,-0.201829,-0.172115,-0.186835,-0.200361,-0.173906,0.007824,-0.019418,0.033981,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.013746,0.014619,-0.019777,0.025235,5
phi_V20_ELOW_z1.5_p0.25_s0,20,LOW,1.5,0,0.25,0.25,False,-0.181436,-0.198796,-0.164682,-0.174991,-0.191321,-0.158722,0.007757,-0.024466,0.039559,false,0:pop_category;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.007280,0.007059,-0.004109,0.005968,5
phi_V20_ELOW_z1.5_p0.25_s1,20,LOW,1.5,1,0.25,0.25,False,-0.142214,-0.157863,-0.126025,-0.145474,-0.159362,-0.131197,0.006517,-0.022212,0.035902,false,0:pop_price;1:pop_category;2:pop_global;3:pop_price;5:pop_global;8:pop_global,False,,0.006764,0.006110,-0.001879,0.002827,5
phi_V20_ELOW_z1.5_p0.5_s0,20,LOW,1.5,0,0.5,0.5,False,-0.161636,-0.178575,-0.143394,-0.158853,-0.174439,-0.143084,0.023895,-0.007584,0.055197,false,0:pop_category;1:pop_category;2:pop_global;3:pop_global;5:pop_price;8:pop_price,False,,0.018310,0.019634,-0.010680,0.013042,5
phi_V20_ELOW_z1.5_p0.5_s1,20,LOW,1.5,1,0.5,0.5,False,-0.132466,-0.147872,-0.117520,-0.133781,-0.146786,-0.120026,0.018210,-0.009635,0.047074,false,0:pop_price;1:pop_category;2:pop_category;3:pop_global;5:pop_global;8:pop_global,False,,0.007855,0.010692,-0.003843,0.005641,5
phi_V20_ELOW_z1.5_p0.5_s2,20,LOW,1.5,2,0.5,0.5,False,-0.144985,-0.164093,-0.125870,-0.148045,-0.164855,-0.131888,,,,,0:pop_global;1:lambda_hybrid_0.25;2:pop_category;3:lambda_hybrid_0.25;5:pop_category;8:recency_pop_0.1,False,,0.010407,0.006422,-0.001217,0.004701,5
phi_V20_ELOW_z1.5_p0_s0,20,LOW,1.5,0,0.0,0.0,False,-0.189708,-0.207979,-0.171664,-0.182748,-0.198281,-0.166854,,,,,0:pop_category;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_ELOW_z1.5_p0_s1,20,LOW,1.5,1,0.0,0.0,False,-0.148868,-0.165505,-0.132415,-0.151991,-0.167100,-0.137150,,,,,0:pop_price;1:pop_price;2:pop_price;3:pop_price;5:pop_global;8:pop_category,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_ELOW_z1.5_p1_s0,20,LOW,1.5,0,1.0,0.4345,True,-0.167376,-0.184810,-0.149900,-0.162977,-0.178644,-0.147676,0.019771,-0.011789,0.050604,false,0:pop_category;1:pop_global;2:pop_price;3:pop_price;5:pop_price;8:pop_price,False,,0.016987,0.019854,-0.010657,0.013325,5
phi_V20_ELOW_z1.5_p1_s1,20,LOW,1.5,1,1.0,0.7155,True,-0.116358,-0.133405,-0.101111,-0.121900,-0.137455,-0.107593,0.030091,-0.000304,0.059507,false,0:pop_price;1:pop_global;2:pop_category;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.010692,0.019856,-0.008349,0.014701,5
phi_V500_EHIGH_z0.5_p0.25_s0,500,HIGH,0.5,0,0.25,0.25,False,-0.266491,-0.279879,-0.253946,-0.265683,-0.276385,-0.253984,0.000590,-0.021159,0.023496,false,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.008920,0.007419,-0.006224,0.004678,5
